"id","bucket","bugeco_linked","bugeco_ids","priority","status","status_reason","codename","title","hsd_link"
"14015032086","A_bugeco_linked","yes","1308560873;1309522432;1309345419","p2-high","complete","complete.product_changed","SPR","[SPR][RAS][Cluster] AMX tileloadd x Poison tests cause CPU shutdowns","https://hsdes.intel.com/appstore/article/#/14015032086"
"14026464067","A_bugeco_linked","yes","13014355605","p2-high","complete","complete.product_changed","DMR","[DMR][BugNinja] System hang with 3Strike while running hammer-unified and C6 (MonitorMWait=0x1)","https://hsdes.intel.com/appstore/article/#/14026464067"
"22010039282","A_bugeco_linked","yes","1306993191","p2-high","complete","complete","ICX","[ICX][Whitley][Cluster Power On][Sandstone] spinlock (all) tests failures","https://hsdes.intel.com/appstore/article/#/22010039282"
"14013789944","B_product_change_no_bugeco","no","","p2-high","complete","complete.product_changed","SPR","[EGS][SPR B0,D0][Cluster][Lemongrass] Core 3-strike running sandstone-chaos","https://hsdes.intel.com/appstore/article/#/14013789944"
"14014090722","B_product_change_no_bugeco","no","","p2-high","complete","complete.product_changed","SPR","[Cluster][EGS SPR C2] PM MCA_IOSFSB_PMREQ_CMP_TIMEOUT + CHA TOR TO found during burnin-sandstone-rf-warm content","https://hsdes.intel.com/appstore/article/#/14014090722"
"14014278294","B_product_change_no_bugeco","no","","p1-showstopper","complete","complete.product_changed","SPR","[EGS SPR-D0][Cluster][RPP] CHA parity (AK_BL_UQID_PTY_ERROR) + UBOX STOP1A errors while running Sandstone chaos","https://hsdes.intel.com/appstore/article/#/14014278294"
"14014504547","B_product_change_no_bugeco","no","","p2-high","complete","complete.product_changed","SPR","[EGS][Cluster][SPR][C2] MCA_PMSB_TIMEOUT while running Sandstone","https://hsdes.intel.com/appstore/article/#/14014504547"
"14014613214","B_product_change_no_bugeco","no","","p2-high","complete","complete.product_changed","SPR","[Cluster][GDC SPR D0] MCA_LLC_BIST_ACTIVE_TIMEOUT cold-reset + memory margin/reset","https://hsdes.intel.com/appstore/article/#/14014613214"
"14014839138","B_product_change_no_bugeco","no","","p3-medium","complete","complete.product_changed","SPR","[Cluster][EGS SPR SF][D0] MCA_DISPATCHER_RUN_BUSY_TIMEOUT Ack missing from single core in C0 Sandstone / Warm Reset","https://hsdes.intel.com/appstore/article/#/14014839138"
"14015110021","B_product_change_no_bugeco","no","","p4-low","complete","complete.product_changed","SPR","[EGS SPR-D0][RPP] 3Strike error running Sandstone - r13s04/r01s10","https://hsdes.intel.com/appstore/article/#/14015110021"
"14015143476","B_product_change_no_bugeco","no","","p2-high","complete","complete.product_changed","SPR","[Cluster GDC][EGS SPR D0] MDF Parity Error seen during IDLE/ive-povray with ucode 0x2c0","https://hsdes.intel.com/appstore/article/#/14015143476"
"14015196045","B_product_change_no_bugeco","no","","p1-showstopper","complete","complete.product_changed","SPR","[Cluster][GDC SPR D0] UBOX POISON error while running Sandstone within TDX Guest with WW35 MVP stack","https://hsdes.intel.com/appstore/article/#/14015196045"
"14015263050","B_product_change_no_bugeco","no","","p2-high","complete","complete.product_changed","SPR","[EGS SPR-D0][Cluster][RPP] DINO/HCA TOR TO while running Sandstone/Povray + Cold cycle","https://hsdes.intel.com/appstore/article/#/14015263050"
"14015266727","B_product_change_no_bugeco","no","","p3-medium","complete","complete.product_changed","SPR","[Cluster][OPUS SPR D0][Multiple Nodes] Watchdog Timer (3-strike timeout) during Sandstone-chaos in TSX test","https://hsdes.intel.com/appstore/article/#/14015266727"
"14015357362","B_product_change_no_bugeco","no","","p3-medium","complete","complete.product_changed","SPR","[Cluster][GDC SPR D0-E0] DISPATCHER_RUN_BUSY_TIMEOUT during sandstone release - cold reset 0x41","https://hsdes.intel.com/appstore/article/#/14015357362"
"14015703844","B_product_change_no_bugeco","no","","p2-high","complete","complete.product_changed","SPR","[Cluster][GDC SPR D0/E0] MCA_DISPATCHER_RUN_BUSY_TIMEOUT - Sandstone","https://hsdes.intel.com/appstore/article/#/14015703844"
"14015797263","B_product_change_no_bugeco","no","","p4-low","complete","complete.product_changed","SPR","[Cluster][OPUS SPR E0][RPP] IFU DSB Data parity error Socket 0 Core 8","https://hsdes.intel.com/appstore/article/#/14015797263"
"14015800984","B_product_change_no_bugeco","no","","p2-high","complete","complete.product_changed","SPR","[Cluster][GDC SPR D0-E0] UPI Bank5 Unmerged UPI UC LL Rx Parameter Exception Socket_1 during burnin/Cold_Reset","https://hsdes.intel.com/appstore/article/#/14015800984"
"14015961568","B_product_change_no_bugeco","no","","p4-low","complete","complete.product_changed","SPR","[Cluster][GDC SPR E0][RPP][Mca] IFU PRF parity error socket0.cpu.core13 during sandstone","https://hsdes.intel.com/appstore/article/#/14015961568"
"14016376372","B_product_change_no_bugeco","no","","p4-low","complete","complete.product_changed","SPR","[EGS SPR-E0][Cluster][RPP] UPI CRC Errors UPI LL Rx detected CRC error successful LLR without Phy Reinit during sandstone stress","https://hsdes.intel.com/appstore/article/#/14016376372"
"14016417265","B_product_change_no_bugeco","no","","p1-showstopper","complete","complete.product_changed","SPR","[Cluster][SPR E3][Wave2] TME_CMI_UFL_ERR while running Sandstone-Warm/IMunch","https://hsdes.intel.com/appstore/article/#/14016417265"
"14017887131","B_product_change_no_bugeco","no","","p2-high","complete","complete.product_changed","EMR","[Cluster][GDC EMR-A0] Core 3-strike while running Sandstone-ifs","https://hsdes.intel.com/appstore/article/#/14017887131"
"14018614514","B_product_change_no_bugeco","no","","p1-showstopper","complete","complete.product_changed","GNR","[Cluster][GNR A1 PO][X1] ml2_cr_mc3_status = 0xb20000000000040e Error type 6 failed in OS IDLE / Running Sandstone","https://hsdes.intel.com/appstore/article/#/14018614514"
"14018729146","B_product_change_no_bugeco","no","","p2-high","complete","complete.product_changed","GNR","[Cluster][GNR A1 PO][X1] IOSF error BUS 0x8a DEV 0x0 FUNC 0x2","https://hsdes.intel.com/appstore/article/#/14018729146"
