id,tenant,priority,status,status_reason,platform,product_found,submitted_date,title,hsd_link
22022227165,server_platf.bug,p1-showstopper,complete,complete.workaround,Oak Stream DMR Platforms,Johnson City AP,03/23/2026,"[AtScale-Cluster] [DMR][AP][ES1] [SFT][X4] - AtScale:SDE:Frequent L1 Instruction-Fetch MCE errors detected during sandstone branch_tree_icache_focused seed testing in PAIV-Mixer_random_workload.",https://hsdes.intel.com/appstore/article/#/22022227165
22019405820,server_platf.bug,p1-showstopper,complete,complete.workaround,Birch Stream Platform,Avenue City,01/25/2024,"[GNR AP B0 PO][Stability] Acode MCA_HAL_IOSF_BRIDGE_RUN_BUSY_TIMEOUT_E and Punit MCA_DISP_RUN_BUSY_TIMEOUT (GPSB hardhang) during G3 cycling or sandstone",https://hsdes.intel.com/appstore/article/#/22019405820
14018614514,server_platf.bug,p1-showstopper,complete,complete.product_changed,Birch Stream Platform,Avenue City,02/06/2023,"[Cluster] [GNR A1 PO] [X1] ml2_cr_mc3_status = 0xb20000000000040e | Error type :6 | failed in OS IDLE / Running Sandstone",https://hsdes.intel.com/appstore/article/#/14018614514
14016417265,server_platf.bug,p1-showstopper,complete,complete.product_changed,Eagle Stream SPR SP,Archer City,04/04/2022,"[Cluster][SPR E3][Wave2][r011s012.zp31l10b01] TME_CMI_UFL_ERR while running Sandstone-Warm/IMunch",https://hsdes.intel.com/appstore/article/#/14016417265
22014056631,server_platf.bug,p1-showstopper,complete,complete.product_changed,Eagle Stream SPR SP,Archer City,10/26/2021,"Mixer core 3-strike with sandstone tsx x bit_test, and DFV",https://hsdes.intel.com/appstore/article/#/22014056631
14015196045,server_platf.bug,p1-showstopper,complete,complete.product_changed,Eagle Stream SPR SP,Archer City,09/28/2021,"[Cluster][GDC SPR D0] UBOX POISON error while running Sandstone within TDX Guest with WW35 MVP stack",https://hsdes.intel.com/appstore/article/#/14015196045
14014319863,server_platf.bug,p1-showstopper,complete,complete.product_changed,Eagle Stream SPR SP,Archer City,06/10/2021,"[Cluster][EGS SPR C2/D0] [Kernel 5.12] System crashes and kernel panics with multiple contents.",https://hsdes.intel.com/appstore/article/#/14014319863
14014278294,server_platf.bug,p1-showstopper,complete,complete.product_changed,Eagle Stream SPR SP,Archer City,06/07/2021,"[EGS SPR-D0] [Cluster] [RPP] CHA parity (AK_BL_UQID_PTY_ERROR ) + UBOX STOP1A errors while running Sandstone chaos",https://hsdes.intel.com/appstore/article/#/14014278294
14011352071,server_platf.bug,p1-showstopper,complete,complete,Whitley Platforms,Wilson City,04/21/2020,"ICX segfault with sandstone content",https://hsdes.intel.com/appstore/article/#/14011352071
14028451848,server_platf.bug,p2-high,open,open.new,Oak Stream DMR Platforms,Johnson City AP,08/13/2026,"[ATSCALE-CLUSTER][PAIV.Cluster][DMR UCC][cs16ca101hs0405][BETA][VV][BKC OKS-DMR-AP-CENTOS-26.32.5.115][MCE] MCE Machine Check Bank 4 MSCOD 0x0003 MCACOD 0x0410 during AtScale: Reset: Cold Reset via redfish + Sandstone",https://hsdes.intel.com/appstore/article/#/14028451848
14028423586,server_platf.bug,p2-high,open,open.awaiting_triage,Oak Stream DMR Platforms,Johnson City AP,08/09/2026,"[ATSCALE-CLUSTER][PAIV.Cluster][DMR UCC][cs16ca101ds0304][BETA][VV][BKC OKS-DMR-AP-CENTOS-26.32.5.115][MCE] MCE Machine Check Bank 4 MSCOD 0x0003 MCACOD 0x0410 during AtScale: Reset: Warm Reset via redfish + Sandstone",https://hsdes.intel.com/appstore/article/#/14028423586
14028377796,server_platf.bug,p2-high,open,open.new,Birch Stream Platform,Avenue City,08/02/2026,"[Cluster][CTRLS CWF_AP B0][cs17ca101ls0609][Master][Coredump] segfault coredump",https://hsdes.intel.com/appstore/article/#/14028377796
14028372275,server_platf.bug,p2-high,open,open.new,Oak Stream DMR Platforms,Johnson City AP,07/31/2026,"[ATSCALE-CLUSTER][PAIV.Cluster][DMR UCC][cs16ca101hs0107][BETA][VV][BKC OKS-DMR-AP-CENTOS-26.29.5.85][MCE] MCE Machine Check Bank 4 MSCOD 0x0003 MCACOD 0x0410, Bank 6 during AtScale: Reset: Warm Reset via redfish + Sandstone",https://hsdes.intel.com/appstore/article/#/14028372275
14028372274,server_platf.bug,p2-high,open,open.new,Oak Stream DMR Platforms,Johnson City AP,07/31/2026,"[ATSCALE-CLUSTER][PAIV.Cluster][DMR UCC][cs16ca101hs0107][BETA][VV][BKC OKS-DMR-AP-CENTOS-26.29.5.85][MCE] MCE Machine Check Bank 15 MSCOD phoenix_undeterminable during AtScale: Reset: Warm Reset via redfish + Sandstone",https://hsdes.intel.com/appstore/article/#/14028372274
14028337412,server_platf.bug,p2-high,open,open.awaiting_triage,Oak Stream DMR Platforms,Johnson City AP,07/28/2026,"[ATSCALE-CLUSTER][PAIV.Cluster][DMR UCC][cs16ca101hs0106][BETA][VV][BKC OKS-DMR-AP-CENTOS-26.29.5.85][MCE Without Reboot] McBankErrorHandler Skt 0x0 McBank 0 State 0x1 class CORRECTED MSCOD phoenix_undeterminable during AtScale: Sandstone: sandstone combo",https://hsdes.intel.com/appstore/article/#/14028337412
14028337081,server_platf.bug,p2-high,open,open.awaiting_triage,Oak Stream DMR Platforms,Johnson City AP,07/28/2026,"[ATSCALE-CLUSTER][PAIV.Cluster][DMR UCC][cs16ca101js0601][BETA][VV][BKC OKS-DMR-AP-CENTOS-26.29.5.85][MCE Without Reboot] McBankErrorHandler Skt 0x0 McBank 0 State 0x1 class CORRECTED MSCOD phoenix_undeterminable during AtScale: Sandstone: sandstone combo",https://hsdes.intel.com/appstore/article/#/14028337081
