hsd_id,platform,source_query_id,status,tier,approval_status,evidence_score,owner,attachments_present,validation_evidence,rejection_reasons,missing_evidence,gap_count,fastest_path_to_promotion,promotion_effort_rank
14023750934,CWF,16027357901,complete,BRONZE,MANUAL_REVIEW,65,gmuppala,Yes,No validation evidence,NO_FIX_VALIDATION;NO_INDEPENDENT_ROOT_CAUSE,independent root cause;reproduction or fix validation,2,Document independently supported root cause,"ROOT_CAUSE_MISSING,REPRODUCTION_OR_FIX_VALIDATION_MISSING"
14023830786,CWF,16027357901,complete,BRONZE,MANUAL_REVIEW,45,gmuppala,Yes,No validation evidence,NO_FIX_VALIDATION;NO_INDEPENDENT_ROOT_CAUSE,independent root cause;reproduction or fix validation,2,Document independently supported root cause,"ROOT_CAUSE_MISSING,REPRODUCTION_OR_FIX_VALIDATION_MISSING"
14018231367,GNR,16027357901,complete,BRONZE,MANUAL_REVIEW,10,diegog3,No,No validation evidence,NO_FIX_VALIDATION;NO_INDEPENDENT_ROOT_CAUSE,attachments/logs;independent root cause;reproduction or fix validation,3,Collect logs/attachments,"ATTACHMENTS_OR_LOGS_MISSING,ROOT_CAUSE_MISSING,REPRODUCTION_OR_FIX_VALIDATION_MISSING"
14018914786,GNR,16027357901,complete,BRONZE,MANUAL_REVIEW,0,kvannam,No,No validation evidence,NO_FIX_VALIDATION;NO_INDEPENDENT_ROOT_CAUSE,attachments/logs;independent root cause;reproduction or fix validation,3,Collect logs/attachments,"ATTACHMENTS_OR_LOGS_MISSING,ROOT_CAUSE_MISSING,REPRODUCTION_OR_FIX_VALIDATION_MISSING"
14023010765,GNR,16027357901,complete,BRONZE,MANUAL_REVIEW,0,srkeesar,No,No validation evidence,NO_FIX_VALIDATION;NO_INDEPENDENT_ROOT_CAUSE,attachments/logs;independent root cause;reproduction or fix validation,3,Collect logs/attachments,"ATTACHMENTS_OR_LOGS_MISSING,ROOT_CAUSE_MISSING,REPRODUCTION_OR_FIX_VALIDATION_MISSING"
14023430059,CWF,16027357901,rejected,REJECT,REJECTED,70,vseethar,Yes,Fix Validated or Reproduced evidence present; reviewer confirmation required,NON_TERMINAL_OR_REJECTED_STATUS,,1,Resolve disposition or replace candidate,NON_TERMINAL_OR_REJECTED_STATUS
14023960264,CWF,16027357901,rejected,REJECT,REJECTED,15,gmuppala,Yes,Root Cause Comment Only,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,reproduction or fix validation,2,Resolve disposition or replace candidate,"NON_TERMINAL_OR_REJECTED_STATUS,REPRODUCTION_OR_FIX_VALIDATION_MISSING"
13013365493,UNKNOWN,16027523187,rejected,REJECT,REJECTED,60,shashish,Yes,Fix Validated or Reproduced evidence present; reviewer confirmation required,NON_TERMINAL_OR_REJECTED_STATUS,independent root cause,3,Resolve disposition or replace candidate,"NON_TERMINAL_OR_REJECTED_STATUS,ROOT_CAUSE_MISSING,OWNER_OR_PLATFORM_UNRESOLVED"
13013365497,UNKNOWN,16027523187,rejected,REJECT,REJECTED,50,hkuzhicx,Yes,Fix Validated or Reproduced evidence present; reviewer confirmation required,NON_TERMINAL_OR_REJECTED_STATUS,independent root cause,3,Resolve disposition or replace candidate,"NON_TERMINAL_OR_REJECTED_STATUS,ROOT_CAUSE_MISSING,OWNER_OR_PLATFORM_UNRESOLVED"
13011141641,SRF,16027811005,rejected,REJECT,REJECTED,45,linmatt2,Yes,No validation evidence,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,3,Resolve disposition or replace candidate,"NON_TERMINAL_OR_REJECTED_STATUS,ROOT_CAUSE_MISSING,REPRODUCTION_OR_FIX_VALIDATION_MISSING"
14021933054,UNKNOWN,16022833305,open,REJECT,REJECTED,40,jquianzo,Yes,Fix Validated or Reproduced evidence present; reviewer confirmation required,NON_TERMINAL_OR_REJECTED_STATUS,independent root cause,3,Resolve disposition or replace candidate,"NON_TERMINAL_OR_REJECTED_STATUS,ROOT_CAUSE_MISSING,OWNER_OR_PLATFORM_UNRESOLVED"
14022039307,UNKNOWN,16022833305,open,REJECT,REJECTED,40,vimarti,Yes,Fix Validated or Reproduced evidence present; reviewer confirmation required,NON_TERMINAL_OR_REJECTED_STATUS,independent root cause,3,Resolve disposition or replace candidate,"NON_TERMINAL_OR_REJECTED_STATUS,ROOT_CAUSE_MISSING,OWNER_OR_PLATFORM_UNRESOLVED"
13010785700,GNR,16026853717,rejected,REJECT,REJECTED,35,dtoralva,Yes,No validation evidence,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,3,Resolve disposition or replace candidate,"NON_TERMINAL_OR_REJECTED_STATUS,ROOT_CAUSE_MISSING,REPRODUCTION_OR_FIX_VALIDATION_MISSING"
13010785701,GNR,16026853717,rejected,REJECT,REJECTED,35,dtoralva,Yes,No validation evidence,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,3,Resolve disposition or replace candidate,"NON_TERMINAL_OR_REJECTED_STATUS,ROOT_CAUSE_MISSING,REPRODUCTION_OR_FIX_VALIDATION_MISSING"
13010785702,GNR,16026853717,rejected,REJECT,REJECTED,35,dtoralva,Yes,No validation evidence,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,3,Resolve disposition or replace candidate,"NON_TERMINAL_OR_REJECTED_STATUS,ROOT_CAUSE_MISSING,REPRODUCTION_OR_FIX_VALIDATION_MISSING"
13011141638,SRF,16027811005,rejected,REJECT,REJECTED,35,linmatt2,Yes,No validation evidence,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,3,Resolve disposition or replace candidate,"NON_TERMINAL_OR_REJECTED_STATUS,ROOT_CAUSE_MISSING,REPRODUCTION_OR_FIX_VALIDATION_MISSING"
14023779609,CWF,16027357901,rejected,REJECT,REJECTED,35,gmuppala,Yes,No validation evidence,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,3,Resolve disposition or replace candidate,"NON_TERMINAL_OR_REJECTED_STATUS,ROOT_CAUSE_MISSING,REPRODUCTION_OR_FIX_VALIDATION_MISSING"
13010785698,GNR,16026853717,rejected,REJECT,REJECTED,25,jadelaoy,Yes,No validation evidence,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,3,Resolve disposition or replace candidate,"NON_TERMINAL_OR_REJECTED_STATUS,ROOT_CAUSE_MISSING,REPRODUCTION_OR_FIX_VALIDATION_MISSING"
